Name,Location,Description,Batch,Website,Founders,Founders Linkedins
Pando Bioscience,Boston,Gen-AI Designed Enzymes for Pharmaceutical Innovation,W23,https://pando.bio/,"Will Cao, Yang Wang","https://www.linkedin.com/in/willcao/, https://www.linkedin.com/in/yang-wang-bioinfo"
Metal,,Metal allows founders to be more targeted & intentional in fundraising,W23,http://www.metal.so,Usman Gul,https://pk.linkedin.com/in/gulsf
Vaero,San Francisco,AI for Patent Lawyers,W23,https://vaero.co,"Bryant Lee, Earl Hathaway","https://www.linkedin.com/in/bryant-lee/, https://linkedin.com/in/earlhathaway"
Yuma AI,Boston,The AI Support Agent for Ecommerce,W23,https://yuma.ai,Guillaume Luccisano,https://www.linkedin.com/in/guillaumeluccisano/
Pierre,New York,Building a better github,W23,https://heypierre.app,"Jacob Thornton, Ian Ownbey",https://www.linkedin.com/in/ian-ownbey-4aa5ba117
moonrepo,Portland,Open source build tool for monorepos and large codebases,W23,https://moonrepo.dev,"Miles Johnson, James Pozdena","https://www.linkedin.com/in/mileswjohnson/, https://www.linkedin.com/in/jpozdena"
Automat,San Francisco,AI enabled RPA using ChatGPT and computer vision,W23,https://www.runautomat.com/,"Lucas Ochoa, Gautam Bose","https://www.linkedin.com/in/lucas-ochoa-51222678/, https://www.linkedin.com/in/gautambose/"
SpecCheck,Los Angeles,Unifying how the optical industry does business.,W23,https://www.speccheckrx.com/,"Joe DeMaria, Arnold Villatoro","https://www.linkedin.com/in/joe-demaria-15a15943/, https://www.linkedin.com/in/arnold-villatoro-85629330"
SpeedyBrand,Remote,Generative-AI powered Marketing Content for SMBs,W23,https://speedybrand.io,"Jatin Mehta, Ayush Jasuja, Ranti Dev Sharma","https://www.linkedin.com/in/jatinmehta1/, https://www.linkedin.com/in/jasujaayush/, https://www.linkedin.com/in/rantidevsharma/"
Finta,San Francisco,Accounting and tax for startups,W23,https://www.finta.com/,Andy Wang,https://www.linkedin.com/in/a27wang/
BerriAI,San Francisco,Call every LLM API like it's OpenAI [100+ LLMs],W23,https://github.com/BerriAI/litellm,"Krrish Dholakia, Ishaan Jaffer","https://www.linkedin.com/in/krish-d-959044116/, https://www.linkedin.com/in/reffajnaahsi/"
Theya,San Francisco,The world's simplest Bitcoin self-custody solution,W23,https://www.theya.us/,"Vikas Choudhary, Smeet Bhatt, Sriram Bhargav Karnati","https://www.linkedin.com/in/vikasch90/, https://www.linkedin.com/in/smeetbhatt/, https://www.linkedin.com/in/srirambhargav"
Upfront,San Francisco,A personal assistant for every homeowner,W23,https://tryupfront.com,"Thomas Stephens, Andrew Hoskins",https://www.linkedin.com/in/andrew-hoskins-eng
fetchr,San Francisco,AI personal shopper that learns about you and buys things for you,W23,https://www.fetchr.so,Calvin Chen,https://www.linkedin.com/in/calvinjaychen/
Warp,New York,Payroll and Compliance for Startups,W23,https://www.joinwarp.com/,Ayush Sharma,https://www.linkedin.com/in/ayushsharma01/
Second,,AI-Native Enterprise Codebase Maintenance,W23,https://www.second.dev,Eric Rowell,https://www.linkedin.com/in/errowell/
Adri AI,San Francisco,Vanta for AI,W23,https://www.getadri.ai/,"Darshita Chaturvedi, Shyam Swaroop","https://www.linkedin.com/in/darshitac/, https://www.linkedin.com/in/shyamswaroop/"
Vendora,,Ecommerce Enablement for the $1T Grocery Industry,W23,https://www.vendora.io/,Sunny Singh,https://www.linkedin.com/in/sunnysng/
Lightski,San Francisco,An AI-powered Writing Interface for Engineers ,W23,https://www.lightski.com,Hansen Qian,https://www.linkedin.com/in/hansenq/
Type,New York,The AI-first document editor.,W23,https://type.ai,"Stew Fortier, Stefan Li","https://www.linkedin.com/in/stew-fortier-7422b829/, https://www.linkedin.com/in/stefanli"
Meru,San Francisco,A Smarter In-Basket for Physicians.,W23,https://usemeru.com,"Rohan Arora, Venkat Krishnan","http://www.linkedin.com/in/meetrohanarora, https://www.linkedin.com/in/venkatvkrishnan/"
Persana AI,San Francisco,Intelligent sales copilot powered by fine tuned models,W23,https://www.persana.ai/,"Sriya Maram, Rush Shahani","https://www.linkedin.com/in/sriyam, https://www.linkedin.com/in/rusheelshahani/"
Serial,San Francisco,Root cause manufacturing issues in seconds,W23,https://www.serial.io/,"Tak Alguire, Devon Copeland","https://www.linkedin.com/in/tak-alguire/, https://www.linkedin.com/in/dkccopeland/"
Kyber,New York,"Instantly draft, review, and send complex regulatory notices.",W23,https://askkyber.com,"Arvind Sontha, Sav Gadoo","https://www.linkedin.com/in/arvind-sontha/, https://www.linkedin.com/in/savtantergadoo/"
Escape,Paris,Business Logic Security Testing for Developers & Security Teams,W23,https://escape.tech,Antoine Carossio,https://linkedin.com/in/acarossio
Keeling Labs,Los Angeles,We develop ML that optimizes how batteries in the grid store energy,W23,http://keelinglabs.com,Jack O'Grady,https://www.linkedin.com/in/jackogrady/
Modulari-T,Montreal,We teach your immune system to attack and cure cancer,W23,https://modularit.bio,"David White, Stephanie Mok","https://www.linkedin.com/in/david-white-modulari-t/, https://www.linkedin.com/in/stephmok/"
Koala Ops,Tel Aviv-Yafo,A platform for developing microservices on Kubernetes,W23,https://koalaops.com/,Nadav Erell,https://www.linkedin.com/in/nadav-erell/
Metal,New York,AI Accelerated Deal Flow and Portfolio Intelligence,W23,https://metal.ai/,"Taylor Lowe, James O'Dwyer, Sergio Prada","https://www.linkedin.com/in/taylorlowe11/, https://www.linkedin.com/in/jamesxodwyer, https://www.linkedin.com/in/sergiopradamora/"
Texel.ai,Remote,Run AI pipelines 10x faster,W23,https://texel.ai,"Rahul Sheth, Eli Semory","https://www.linkedin.com/in/rbsheth/, https://www.linkedin.com/in/eli-semory-8697b15/"
Vector,Boston,"Find, prioritize, and track your ideal customer profile",W23,https://vector.co,"Joshua Perk, Nick Masters","https://www.linkedin.com/in/joshuaperk/, https://www.linkedin.com/in/nicholasamasters/"
Pier,San Francisco,Stripe for Credit - End-to-end credit infra via API,W23,http://www.pier-finance.com,"Jessica Zhang, Alex Hegevall Clarke","https://www.linkedin.com/in/jessica-zhang-87967280/, https://www.linkedin.com/in/hegevall/"
AiFlow,San Francisco,AI-Based Candidate Identification for the C-Suite,W23,https://aiflow.solutions,"Nicholas Manske, Josh Gardner",https://www.linkedin.com/in/nicholas-manske
Finni Health,San Francisco,Empowering Autism Care Providers to Go Independent,W23,https://www.finnihealth.com/,"Bucky Khan, Yilun Chen","https://www.linkedin.com/in/bukhtarkhan/, https://www.linkedin.com/in/yilunc/"
Invitris,Munich,Creating new protein-based drugs at scale,W23,https://invitris.com/,"Patrick Grossmann, Kilian Vogele","https://www.linkedin.com/in/patrickgrossmannbioinformatics/, https://www.linkedin.com/in/kilian-vogele-21a321183/"
Adventris Pharmaceuticals,Baltimore,Adventris makes cancer vaccines,W23,https://adventris.com,"Jen Herbach, William Collis, Mark Yarchoan","https://www.linkedin.com/in/jennylesser/, https://www.linkedin.com/in/william-collis-145a2511/"
highlight.io,Irvine,"The open source, fullstack monitoring platform: stop guessing why…",W23,https://www.highlight.io/,"Jay Khatri, Vadim Korolik","https://linkedin.com/in/jay-khatri, https://www.linkedin.com/in/vkorolik/"
Untether Labs,,Scheduling software for digital health clinics to do more with less.,W23,https://untetherlabs.com,Aditya Sharma,https://linkedin.com/in/sharmaed
Luca,San Francisco,The Pricing Co-Pilot for Retail Operators.,W23,https://www.askluca.com/,"Tanvi Surti, Yonah Mann","https://www.linkedin.com/in/tanvisurti/, https://www.linkedin.com/in/yonah-mann/"
Edge,Remote,The ultimate patent assistant.,W23,https://withedge.com,"Evan Zimmerman, Len Boyette","https://linkedin.com/in/ejz, https://www.linkedin.com/in/lenb/"
Benchmark,New York,The fastest way to screen deals & aggregate investment data.,W23,https://withbenchmark.com/,"Alec Dunn, Connor Janson, Josh Kerber","https://www.linkedin.com/in/alec-dunn/, https://linkedin.com/in/connorjanson, https://www.linkedin.com/in/jakerber"
Fabius,San Francisco,AI to improve Sales Calls,W23,https://fabius.io,"Neil Madsen, Andy Day","https://www.linkedin.com/in/neil-madsen-18a3755b/, https://www.linkedin.com/in/andrewkday"
Vocode,San Francisco,Helping developers connect the world with magical conversational AI.,W23,https://vocode.dev,"Kian Hooshmand, Ajay Raj","https://www.linkedin.com/in/kianhooshmand/, https://www.linkedin.com/in/ajaynraj/"
Wallbit,Buenos Aires,Neobank for global remote workers,W23,https://wallbit.io,"Rodrigo Vidal, Tomas Bruzza, Braian Fritz, Martin Gira","https://linkedin.com/in/rodrigovidal05, https://www.linkedin.com/in/tomasbruzza/, https://www.linkedin.com/in/braian-nicolas-fritz-887966144/, https://www.linkedin.com/in/martintg"
Vellum,Remote,The AI Product Development Platform,W23,https://www.vellum.ai/,"Akash Sharma, Sidd Seethepalli, Noa Flaherty","https://www.linkedin.com/in/siddseethepalli/, https://www.linkedin.com/in/noaflaherty/"
Rex,Zürich,Your personal AI fitness and nutrition coach ,W23,https://www.rex.fit,"Rangel Milushev, Ahmad Roumie","https://www.linkedin.com/in/rangel-milushev/, https://www.linkedin.com/in/ahmad-roumie/"
Persist AI,Woodland,Developing long-lasting drug formulations 50% faster,W23,http://www.persist-ai.com,"Karthik Raman, Christopher Shelner","https://www.linkedin.com/in/karthik-raman-scientist/, http://www.linkedin.com/in/christophershelner/"
Berry,Remote,Scale customer success and onboarding with AI ,W23,https://berryapp.io/yc,"Yan Fu, Ann Chan","https://www.linkedin.com/in/yanfu/, https://www.linkedin.com/in/annchanyt"
Conduit,San Francisco,Software for warehouses to automate schedules with trucks.,W23,http://helloconduit.com,Conrad Lilleness,https://www.linkedin.com/in/conradlilleness/
